absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
355.12,-7.56,99.5,-0.25,-3.75,-0.31,-0.13,-0.11,-0.54,0.5662155066756827,3.771087376341206,-0.1955155821167275,2.905347392871356,-8.0,-5.5,-11.500000000000002,15.049916943292413,0
354.94,-7.62,99.5,0.31,-3.12,-0.5,0.02,0.13,-0.21,0.2477902338672773,3.174980314899606,0.5522890193034389,-3.046640947247037,7.5,12.0,16.500000000000004,21.73706511928416,0
354.81,-7.62,99.44,0.88,-0.94,0.13,0.39,-0.19,-0.57,0.7163099887618488,1.2941792766073794,-0.2684614278583364,-2.5415424401880395,18.5,-16.0,-18.0,30.36856927812043,0
354.75,-7.62,99.5,-0.37,-1.69,-0.44,0.11,-0.02,0.25,0.273861278752583,1.785105038926281,-0.0730947458931301,-0.4145068745847859,-14.000000000000002,8.5,41.0,44.15031143718014,0
354.62,-7.62,99.5,0.31,-2.94,-0.56,0.15,0.14,-0.68,0.7102816342831906,3.008870219866586,0.19840402162911,-2.9244813388548883,2.0,8.0,-46.5,47.225522760473496,0
354.5,-7.62,99.5,-0.94,-2.62,-0.06,0.05,-0.07,0.14,0.1643167672515498,2.7841695350678632,-0.4400740199977141,-0.3430239404207034,-4.999999999999999,-10.5,41.0,42.61748467472007,0
354.37,-7.62,99.5,0.13,-3.25,-0.62,0.09,0.07,-0.2,0.2302172886644267,3.311162937700288,0.3089521536895802,-2.7187387274568526,2.0,7.000000000000001,-17.0,18.49324200890693,0
354.19,-7.62,99.5,-0.31,-4.44,-0.56,0.04,-0.1,0.46,0.4724404724407087,4.485900132637819,-0.2132801679921792,-0.0867383386759851,-2.5,-8.5,33.0,34.16869912653978,0
354.0,-7.62,99.44,-0.13,-4.5,-0.25,0.26,-0.17,-0.1,0.3263433774416144,4.508813591178948,-0.5479327137656625,-1.937970160613116,11.0,-3.5000000000000004,-28.000000000000004,30.28613544181562,0
353.81,-7.62,99.44,-0.13,-4.81,-0.25,0.03,-0.32,0.5,0.5943904440685432,4.818246569033178,-0.5684977127631096,-0.0599281551212078,-11.5,-7.5,30.0,32.992423372647245,0
353.56,-7.69,99.44,-0.62,-3.56,-0.13,0.08,0.08,0.56,0.5713142742834281,3.615923118651722,0.1404897017535203,-0.1418970546041639,2.5,20.0,3.0000000000000027,20.37768387231484,0
353.37,-7.69,99.31,-0.19,-3.44,-0.25,0.11,0.06,0.7,0.7111258679024409,3.454301666039027,0.0844736778465035,-0.1558682013983225,1.5,-1.0000000000000002,6.999999999999995,7.228416147400475,0
342.5,-7.5,98.37,0.0,-6.12,-1.06,0.23,-0.11,0.14,0.2908607914449798,6.211119061811647,-0.3878379087720945,-1.0240074859056492,6.0,-8.499999999999998,-28.0,29.870554062487688,0
